Metal,Metal_CN,Outcome,Pearson_r,Pearson_p,Pearson_n,Pearson_sig,Spearman_r,Spearman_p,Spearman_n,Spearman_sig,Pearson_p_fdr,Pearson_sig_fdr,Spearman_p_fdr,Spearman_sig_fdr
Pb,铅,systolic_bp,0.33969734078544783,5.705308182686933e-15,500,True,0.37904782019128075,1.570778148918242e-18,500,True,4.2789811370152e-14,True,1.1780836116886815e-17,True
Pb,铅,HbA1c,0.3765320980839695,2.7460430805911657e-18,500,True,0.4479790719162876,4.733640609096072e-26,500,True,4.1190646208867484e-17,True,7.100460913644108e-25,True
Pb,铅,eGFR,-0.09048392402696899,0.0431383387663889,500,True,-0.038485785943143766,0.3904880574586464,500,False,0.2156916938319445,False,0.732165107734962,False
As,砷,systolic_bp,0.019775419962986485,0.6591201749828639,500,False,0.024020448081792326,0.5920646172876174,500,False,0.8239002187285799,False,0.6831514814857124,False
As,砷,HbA1c,-0.008562170664930336,0.8485410541642506,500,False,-0.027903759615038458,0.5336088119082889,500,False,0.9091511294616971,False,0.6670110148853611,False
As,砷,eGFR,0.03506969600578595,0.4339441444766764,500,False,0.033316261265045055,0.45729036622133784,500,False,1.0,False,0.6859355493320067,False
Cd,镉,systolic_bp,-0.0046140800953103495,0.9180294142237924,500,False,-0.031916671666686665,0.4764191706255936,500,False,0.9180294142237924,False,0.6496625053985366,False
Cd,镉,HbA1c,-0.07200987436488132,0.10778087415044915,500,False,-0.08958218232872932,0.04527055794178775,500,True,0.4041782780641843,False,0.2263527897089387,False
Cd,镉,eGFR,-0.023983142330120177,0.592640119822837,500,False,-0.04453995415981664,0.3202500144794695,500,False,0.8889601797342556,False,0.6862500310274345,False
Mn,锰,systolic_bp,0.04896287666205638,0.2744998704717315,500,False,0.04700543602174408,0.29416766241214176,500,False,0.8234996114151946,False,0.7354191560303543,False
Mn,锰,HbA1c,0.027403127140641373,0.5409786745300064,500,False,0.012199632798531194,0.7855301798234401,500,False,0.9016311242166773,False,0.8416394783822573,False
Mn,锰,eGFR,0.022194123588578724,0.6205333745180002,500,False,0.06555357421429686,0.14326815868420556,500,False,0.8461818743427275,False,0.5372555950657708,False
Hg,汞,systolic_bp,-0.032067921923950665,0.4743311277024733,500,False,-0.0035132300529202116,0.9375402336447869,500,False,1.0,False,0.9375402336447869,False
Hg,汞,HbA1c,0.015073646487854538,0.7366955674932761,500,False,0.034584714338857354,0.4403318190007748,500,False,0.8500333471076262,False,0.7338863650012912,False
Hg,汞,eGFR,0.028745164013024054,0.5213374177738218,500,False,0.04791532766131064,0.28491110861328667,500,False,0.9775076583259159,False,0.8547333258398601,False
